,original,synonyms
0,agony,anguish
1,agony,misery
0,agreeability,affability
1,agreeability,agreeableness
0,agreeableness,affability
1,agreeableness,agreeability
0,agreement,accord
1,agreement,arrangement
0,agriculturalist,grower
1,agriculturalist,laborer
0,agriculturist,agronomist
1,agriculturist,gardener
0,ague,fever
1,ague,malaria
0,ahoy,calling
1,ahoy,cry
0,aid,assistance
1,aid,benefit
0,aide,assistant
1,aide,deputy
0,aider,comforter
1,aider,intercessor
0,aigrette,ridge
1,aigrette,caruncle
0,aiguille,crest
1,aiguille,hill
0,aileron,airfoil
1,aileron,appendage
0,ailment,ache
1,ailment,condition
0,aimless,desultory
1,aimless,erratic
0,air,atmosphere
1,air,breeze
0,aircraft,airliner
1,aircraft,balloon
0,airdrome,airfield
1,airdrome,airstrip
0,airdrop,fly
1,airdrop,
0,airless,stifling
1,airless,stuffy
0,airlift,air freight
1,airlift,
0,airliner,balloon
1,airliner,chopper
0,airport,airfield
1,airport,airstrip
0,airsickness,car sickness
1,airsickness,mal de mer
0,airstrip,airfield
1,airstrip,installation
0,airy,breezy
1,airy,uncluttered
0,ajar,open
1,ajar,unclosed
0,aka,assumed name
1,aka,moniker
0,akimbo,jagged
1,akimbo,V-shaped
0,ala,according to
1,ala,in accord with
0,alabaster,alabastrine
1,alabaster,fair
0,alabastrine,fair
1,alabastrine,ivory
0,alacrity,alertness
1,alacrity,avidity
0,alameda,boulevard
1,alameda,boardwalk
0,alarm,anxiety
1,alarm,apprehension
0,alarmable,demonstrative
1,alarmable,fidgety
0,alarum,alert
1,alarum,bell
0,alate,feathered
1,alate,elevated
0,albino,auricomous
1,albino,bleached
0,alchemist,charmer
1,alchemist,clairvoyant
0,alcohol,booze
1,alcohol,drink
0,alcoholism,addiction
1,alcoholism,crapulence
0,aleatory,accidental
1,aleatory,haphazard
0,alee,away
1,alee,first
0,alert,active
1,alert,bright
0,alfresco,farther
1,alfresco,foreign
0,algae,seaweed
1,algae,dulse
0,algebra,calculation
1,algebra,calculus
0,algidity,chill
1,algidity,snow
0,algific,chilly
1,algific,cold
0,algorithm,breakthrough
1,algorithm,conclusion
0,alias,otherwise
1,alias,also called
0,alibi,excuse
1,alibi,justification
0,alien,exotic
1,alien,incongruous
0,alienation,disaffection
1,alienation,estrangement
0,align,adjust
1,align,coordinate
0,alimental,alimentative
1,alimental,balanced
0,alimentation,bread
1,alimentation,food
0,alist,aristocracy
1,alist,beau monde
0,aliveness,alertness
1,aliveness,appreciation
0,alkalescent,salty
1,alkalescent,soluble
0,alky,booze
1,alky,drink
0,allay,alleviate
1,allay,assuage
0,allayment,abatement
1,allayment,alleviation
0,allegation,accusation
1,allegation,charge
0,allege,charge
1,allege,cite
0,allegiance,adherence
1,allegiance,dedication
0,allegorist,liar
1,allegorist,narrator
0,aller,complete
1,aller,entire
0,allergen,antigen
1,allergen,dander
0,alleviate,allay
1,alleviate,assuage
0,alleviator,mediator
1,alleviator,referee
0,alley,alleyway
1,alley,lane
0,alliance,accord
1,alliance,affiliation
0,alliteration,adumbration
1,alliteration,allegory
0,allocation,allotment
1,allocation,appropriation
0,allocution,address
1,allocution,lecture
0,allot,allocate
1,allot,appoint
0,allotment,allocation
1,allotment,allowance
0,allotrope,gem
1,allotrope,jewel
0,allover,fidget
1,allover,jump
0,alloy,admixture
1,alloy,adulterant
0,allude,advert
1,allude,imply
0,allure,attraction
1,allure,charisma
0,allurer,charmer
1,allurer,enchanter
0,allusion,quotation
1,allusion,charge
0,alluvion,Niagara
1,alluvion,cascade
0,alluvium,delta
1,alluvium,deposition
0,aloof,detached
1,aloof,distant
0,aloofness,remoteness
1,aloofness,distance
0,alopecia,MPB
1,alopecia,baldness
0,aloud,loudly
1,aloud,audibly
0,alpenstock,cane
1,alpenstock,crutch
0,alpha,first
1,alpha,start
0,alphabet,ABCs
1,alphabet,characters
0,alpine,aerial
1,alpine,elevated
0,alt,Ctrl
1,alt,F key
0,altar,shrine
1,altar,chantry
0,alter,adjust
1,alter,amend
0,alteration,adjustment
1,alteration,amendment
0,altercate,contend
1,altercate,disagree
0,altercation,argument
1,altercation,bickering
0,alterer,adjective
1,alterer,adverb
0,alterity,difference
1,alterity,disparity
0,alternate,back up
1,alternate,double
0,alternator,dynamo
1,alternator,
0,altiloquence,balderdash
1,altiloquence,bluster
0,alto,bass
1,alto,deep
0,altruism,benevolence
1,altruism,humanitarianism
0,alum,graduate
1,alum,postgraduate
0,aluminum,bottle
1,aluminum,bucket
0,alumna,alum
1,alumna,graduate
0,alveolate,gaping
1,alveolate,huge
0,alway,consistently
1,alway,constantly
0,amain,ASAP
1,amain,apace
0,amalgam,admixture
1,amalgam,alloy
0,amalgamation,amalgam
1,amalgamation,admixture
0,amaranthine,ceaseless
1,amaranthine,continual
0,amass,assemble
1,amass,collect
0,amassment,acquiring
1,amassment,aggregation
0,amateur,abecedarian
1,amateur,apprentice
0,amatory,admiring
1,amatory,amorous
0,amaze,affect
1,amaze,alarm
0,amazement,admiration
1,amazement,astonishment
0,ambidexterity,deceit
1,ambidexterity,deception
0,ambience,atmosphere
1,ambience,surroundings
0,ambiguity,doubt
1,ambiguity,uncertainty
0,ambit,boundary
1,ambit,bounds
0,ambition,appetite
1,ambition,aspiration
0,ambivalence,doubt
1,ambivalence,hesitancy
0,ambler,hiker
1,ambler,passerby
0,ambrosia,delicacy
1,ambrosia,nectar
0,ambry,cabinet
1,ambry,container
0,ambulance,EMS
1,ambulance,rescue
0,ambulate,amble
1,ambulate,foot
0,ambulation,airing
1,ambulation,walk
0,ambulator,hiker
1,ambulator,pedestrian
0,ambulatory,itinerant
1,ambulatory,peripatetic
0,ambush,ambuscade
1,ambush,camouflage
0,ameliorate,alleviate
1,ameliorate,lighten
0,amelioration,advance
1,amelioration,advancement
0,amenability,acquiescence
1,amenability,agreeableness
0,amenableness,acquiescence
1,amenableness,agreeableness
0,amendatory,bettering
1,amendatory,emendatory
0,amendment,change
1,amendment,modification
0,amenity,comfort
1,amenity,convenience
0,amentia,brain damage
1,amentia,mental defect
0,amerce,fine
1,amerce,punish
0,amiability,affability
1,amiability,agreeability
0,amiableness,affability
1,amiableness,agreeability
0,amicability,accord
1,amicability,affection
0,amicableness,benevolence
1,amicableness,comity
0,amice,frock
1,amice,garb
0,amitosis,cellular division
1,amitosis,meiosis
0,ammo,armament
1,ammo,bomb
0,ammunition,ammo
1,ammunition,armament
0,amnesia,blackout
1,amnesia,fugue
0,amnesty,forgiveness
1,amnesty,immunity
0,amnia,afterbirth
1,amnia,arachnoid membrane
0,amnion,afterbirth
1,amnion,arachnoid membrane
0,amoeba,animalcule
1,amoeba,animalculum
0,amok,berserk
1,amok,nuts
0,amorist,Casanova
1,amorist,Romeo
0,amortization,amount
1,amortization,award
0,amount,bulk
1,amount,chunk
0,amphibiology,innuendo
1,amphibiology,pun
0,amphigory,balderdash
1,amphigory,baloney
0,amphitheater,auditorium
1,amphitheater,coliseum
0,ample,abundant
1,ample,bountiful
0,amplification,elaboration
1,amplification,addition
0,amplifier,amp
1,amplifier,loudspeaker
0,ampoule,bottle
1,ampoule,flask
0,ampulla,beaker
1,ampulla,canteen
0,amuck,murderously
1,amuck,berserk
0,amulet,ornament
1,amulet,talisman
0,amuse,charm
1,amuse,cheer
0,amusement,delight
1,amusement,diversion
0,ana,oeuvre
1,ana,analects
0,anabasis,advance
1,anabasis,progress
0,anabolism,catabolism
1,anabolism,consumption
0,anaesthesia,analgesia
1,anaesthesia,insentience
0,analgesia,insentience
1,analgesia,numbness
0,analogize,analyze
1,analogize,collate
0,analogue,analog
1,analogue,cognate
0,analogy,comparison
1,analogy,correlation
0,analyser,authority
1,analyser,cartoonist
0,analyst,accountant
1,analyst,investigator
0,analyzer,authority
1,analyzer,cartoonist
0,anamnesis,medical history
1,anamnesis,case study
0,anamorphosis,deformation
1,anamorphosis,deformity
0,ananym,AKA
1,ananym,alias
0,anarch,demonstrator
1,anarch,mutineer
0,anarchy,chaos
1,anarchy,confusion
0,anathema,bane
1,anathema,pariah
0,anathemize,accurse
1,anathemize,comminate
0,anatomization,postmortem
1,anatomization,anatomy
0,anatomy,analysis
1,anatomy,biology
0,ancestor,forebear
1,ancestor,forefather
0,ancestry,ancestor
1,ancestry,antecedent
0,anchor,mainstay
1,anchor,ballast
0,anchorage,dock
1,anchorage,harbor
0,ancilla,hand
1,ancilla,worker
0,ancon,joint
1,ancon,angle
0,andiron,dog
1,andiron,firedog
0,android,hominoid
1,android,
0,anemia,chlorosis
1,anemia,emptiness
0,anemograph,anemometer
1,anemograph,wind cone
0,anemometer,barometer
1,anemometer,weather bureau
0,anemone,tumor
1,anemone,coelenterate
0,anent,regarding
1,anent,respecting
0,anesthesia,insentience
1,anesthesia,numbness
0,anew,afresh
1,anew,once again
0,angel,archangel
1,angel,cherub
0,angelic,celestial
1,angelic,ethereal
0,angioma,hemangioma
1,angioma,mole
0,angle,corner
1,angle,edge
0,angst,agony
1,angst,apprehension
0,anhedonia,grief
1,anhedonia,misery
0,anility,age
1,anility,decline
0,anima,psyche
1,anima,soul
0,animadversion,accusation
1,animadversion,censure
0,animadvert,admonish
1,animadvert,berate
0,animalcula,animalcule
1,animalcula,n
0,animalcule,animalculum
1,animalcule,n
0,animalculum,animalcule
1,animalculum,n
0,animalism,animality
1,animalism,sensuality
0,animality,animalism
1,animality,sensuality
0,animate,breathing
1,animate,live
0,animation,action
1,animation,ardor
0,animator,artisan
1,animator,craftsman
0,animosity,acrimony
1,animosity,animus
0,anklebone,bone
1,anklebone,astragalus
0,anklet,bobby sock
1,anklet,crew sock
0,anlace,bayonet
1,anlace,blade
0,anneal,harden
1,anneal,temper
0,annex,addendum
1,annex,appendix
0,annexation,incorporation
1,annexation,takeover
0,annihilation,decimation
1,annihilation,demolition
0,annihilator,bomber
1,annihilator,Cancer
0,annotate,comment
1,annotate,commentate
0,annotation,glossary
1,annotation,comment
0,annotator,analyst
1,annotator,announcer
0,announce,call
1,announce,declare
0,announcement,advertisement
1,announcement,briefing
0,announcer,broadcaster
1,announcer,disc jockey
0,annoy,agitate
1,annoy,bore
0,annoyance,anger
1,annoyance,discontent
0,annoyer,oppressor
1,annoyer,rascal
0,annuity,donation
1,annuity,earnings
0,annulate,annulated
1,annulate,circular
0,annulment,abolition
1,annulment,abrogation
0,annunciation,advertisement
1,annunciation,bulletin
0,anodyne,anesthetic
1,anodyne,narcotic
0,anoint,bless
1,anoint,consecrate
0,anomalism,anomaly
1,anomalism,deformity
0,anon,afterward
1,anon,again
0,anonym,assumed name
1,anonym,moniker
0,anonymity,inconspicuousness
1,anonymity,invisibility
0,anorak,cloak
1,anorak,frock
0,anorexia,food aversion
1,anorexia,loss of appetite
0,answer,comment
1,answer,explanation
0,answerability,liability
1,answerability,blameworthiness
0,antacid,salty
1,antacid,soluble
0,antagonism,animosity
1,antagonism,animus
0,antagonist,adversary
1,antagonist,enemy
0,antagonizer,oppressor
1,antagonizer,rascal
0,ante,pay
1,ante,pot
0,anteater,edentate
1,anteater,farrow
0,antecedence,antecedency
1,antecedence,anteriority
0,antecedency,anteriority
1,antecedency,importance
0,antedate,antecede
1,antedate,backdate
0,antelope,chammy
1,antelope,cloth
0,anteposition,antecedence
1,anteposition,earliness
0,anteriority,antecedency
1,anteriority,importance
0,anteroom,compartment
1,anteroom,cubicle
0,anthem,chant
1,anthem,chorus
0,anthesis,developing
1,anthesis,flowering
0,anthill,bank
1,anthill,drift
0,anthracosis,black lung disease
1,anthracosis,coal miner's lung
0,anthropogeny,anthropography
1,anthropogeny,biological anthropology
0,anthropography,anthropogeny
1,anthropography,biological anthropology
0,anthropoid,chimpanzee
1,anthropoid,gibbon
0,anthropology,folklore
1,anthropology,sociology
