,original,synonyms
0,schemata,architecture
1,schemata,arrangement
0,scissors,clippers
1,scissors,shears
0,scoria,anthracite
1,scoria,ash
0,scorn,derision
1,scorn,disdain
0,scourings,debris
1,scourings,silt
0,scratches,blemish
1,scratches,laceration
0,scurvy,dirty
1,scurvy,abject
0,semantics,connotation
1,semantics,definition
0,semen,berry
1,semen,corn
0,sentinel,guard
1,sentinel,keeper
0,separates,break
1,separates,detach
0,sessions,conference
1,sessions,discussion
0,settlings,alluvium
1,settlings,delta
0,shakers,bones
1,shakers,counters
0,shallows,bayou
1,shallows,pond
0,shavings,rubble
1,shavings,deposit
0,shies,avert
1,shies,bypass
0,shingles,coast
1,shingles,shore
0,shorewards,aground
1,shorewards,beached
0,shorts,boxers
1,shorts,briefs
0,shrapnel,ammo
1,shrapnel,armament
0,shucks,ahem
1,shucks,alas
0,sib,agnate
1,sib,aunt
0,sides,communication
1,sides,conference
0,sidewards,obliquely
1,sidewards,sidelong
0,significs,connotation
1,significs,definition
0,sinewy,brawny
1,sinewy,leathery
0,singles,celibate
1,singles,single
0,skies,azure
1,skies,empyrean
0,skittles,bowls
1,skittles,candlepins
0,skivvies,bikini
1,skivvies,bra
0,slithers,coast
1,slithers,cower
0,slobbers,dribble
1,slobbers,drip
0,slogan,expression
1,slogan,jingle
0,slops,refuse
1,slops,rubbish
0,smallclothes,bikini
1,smallclothes,bra
0,smalls,cramped
1,smalls,limited
0,snaffles,brake
1,snaffles,bridle
0,snails,abalone
1,snails,clam
0,snaps,bracelets
1,snaps,braces
0,snuffers,beak
1,snuffers,snout
0,sons,boy
1,sons,descendant
0,spaghetti,abdominal
1,spaghetti,alimentary
0,sparks,blaze
1,sparks,bonfire
0,species,breed
1,species,category
0,specimen,copy
1,specimen,exhibit
0,speckle,mottle
1,speckle,bespeckle
0,specks,blot
1,specks,dot
0,spectacles,bifocals
1,spectacles,blinkers
0,sphinges,conundrum
1,sphinges,puzzle
0,spoken,announced
1,spoken,articulate
0,sports,business
1,sports,play
0,spurrings,dispatch
1,spurrings,expedition
0,staggers,careen
1,staggers,falter
0,stamen,cord
1,stamen,cotton
0,starets,elder
1,starets,important person
0,stases,antithesis
1,stases,correspondence
0,statics,altercation
1,statics,bickering
0,statistics,data
1,statistics,stats
0,stays,bodice
1,stays,underwear
0,stemmata,ancestral tree
1,stemmata,ancestry
0,stickers,company
1,stickers,design
0,sticks,boondocks
1,sticks,boonies
0,stocks,assets
1,stocks,capital
0,stomata,halo
1,stomata,
0,strangles,gag
1,strangles,inhibit
0,streets,avenue
1,streets,boulevard
0,summons,indictment
1,summons,subpoena
0,sundries,assortment
1,sundries,bits
0,superficies,coating
1,superficies,facade
0,superstrata,coating
1,superstrata,facade
0,surroundings,ambience
1,surroundings,atmosphere
0,suspenders,bands
1,suspenders,braces
0,sweepings,debris
1,sweepings,detritus
0,syllogistics,antithesis and synthesis
1,syllogistics,argumentation
0,syntactics,parole
1,syntactics,pragmatics
0,syntheses,amalgam
1,syntheses,fusion
0,tabes,anorexia
1,tabes,atrophy
0,tables,bar
1,tables,bench
0,tactics,approach
1,tactics,campaign
0,tailings,sand
1,tailings,shale
0,takings,spoils
1,takings,boodle
0,talaria,moccasin
1,talaria,shoe
0,tales,account
1,tales,anecdote
0,tangs,aroma
1,tangs,bite
0,taps,death
1,taps,exit
0,tars,adhesive
1,tars,mud
0,technics,approach
1,technics,arrangement
0,teem,brim
1,teem,bustle
0,teems,brim
1,teems,bustle
0,teens,boyhood
1,teens,girlhood
0,telemechanics,automation
1,telemechanics,artificial intelligence
0,tenderloin,Bowery
1,tenderloin,favela
0,tenues,demeanor
1,tenues,manner
0,thanks,gratitude
1,thanks,recognition
0,theatricals,assuming
1,theatricals,characterization
0,theatrics,dramatics
1,theatrics,histrionics
0,therapeutics,regimen
1,therapeutics,rehabilitation
0,theses,contention
1,theses,hypothesis
0,thoraces,breast
1,thoraces,heart
0,threaten,intimidate
1,threaten,menace
0,thrustings,advance
1,thrustings,assault
0,tidings,advice
1,tidings,bulletin
0,tights,hosiery
1,tights,pantyhose
0,times,assets
1,times,capital
0,timpani,kettledrum
1,timpani,pan
0,togs,apparel
1,togs,clothes
0,tongs,forceps
1,tongs,pliers
0,torques,armband
1,torques,collar
0,towards,against
1,towards,almost
0,traps,apparatus
1,traps,furnishings
0,triceps,branch
1,triceps,rod
0,trollops,floozy
1,trollops,harlot
0,trousers,knickers
1,trousers,slacks
0,trucks,goods
1,trucks,traffic
0,turbines,appliance
1,turbines,diesel
0,twinkles,blink
1,twinkles,flicker
0,unawares,short
1,unawares,aback
0,underclothes,Sunday best
1,underclothes,accouterment
0,underpants,boxers
1,underpants,briefs
0,undies,underwear
1,undies,nightclothes
0,ungues,fingernail
