Column1,word,type,v1,v2,v3,v4,v5,반의어,v6,동의어
3318,Brachystegia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3319,Brachystomata,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3320,Brachyura,NNP,[해양과학]  게류  ,  게류  ,  게류  ,  게류  ,게류,,게류,NaN
3321,Brachyurus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3322,Bracon,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3323,Braconidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3324,Brad,NNP,  브래드(남자 이름).  ,브래드(남자 이름).  ,브래드(남자 이름).  ,브래드(남자 이름).  ,브래드.,,브래드.,latch
3325,Bradburya,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3326,Bradford,NNP,"  Gamaliel ~ (1863-1932: 미국의 전기 작가, Psychography 파의 선구자).      2.    ",Longer,Longer,Longer,Longer,,Longer,NaN
3327,Bradshaw,NNP,"  [영] 철도 여행 안내서 ((철도 시각표를 수록, 1961년 폐간))  ","[영] 철도 여행 안내서 ((철도 시각표를 수록, 1961년 폐간))  ","[영] 철도 여행 안내서 ((철도 시각표를 수록, 1961년 폐간))  ","[영] 철도 여행 안내서 ((철도 시각표를 수록, 1961년 폐간))  ", 철도 여행 안내서 ,, 철도 여행 안내서 ,NaN
3328,Bradypodidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3329,Bradypus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3330,Brahmahood,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3331,Brahmaic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3332,Brahman,NNP,  브라만(힌두교의 카스트 제도에서 최고위 계급. 원래는 사제 계급)  ,브라만(힌두교의 카스트 제도에서 최고위 계급. 원래는 사제 계급)  ,브라만(힌두교의 카스트 제도에서 최고위 계급. 원래는 사제 계급)  ,브라만(힌두교의 카스트 제도에서 최고위 계급. 원래는 사제 계급)  ,브라만,,브라만,noble
3333,Brahmana,NNP,"[힌두교]  브라마나, 범서(梵書)  ","  브라마나, 범서(梵書)  ","  브라마나, 범서(梵書)  ","  브라마나, 범서(梵書)  ","브라마나, 범서",,"브라마나, 범서",NaN
3334,Brahmanaspati,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3335,Brahmanda,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3336,Brahmaness,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3337,Brahmanhood,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3338,Brahmani,NNP,  브라만 계급의 여자  ,브라만 계급의 여자  ,브라만 계급의 여자  ,브라만 계급의 여자  ,브라만 계급의 여자,,브라만 계급의 여자,NaN
3339,Brahmanic,NNP,  브라만(교)의  ,브라만(교)의  ,브라만(교)의  ,브라만(교)의  ,브라만의,,브라만의,NaN
3340,Brahmanical,NNP,  브라만(교)의  ,브라만(교)의  ,브라만(교)의  ,브라만(교)의  ,브라만의,,브라만의,NaN
3341,Brahmanism,NNP,  브라만교(敎)  ,브라만교(敎)  ,브라만교(敎)  ,브라만교(敎)  ,브라만교,,브라만교,NaN
3342,Brahmanist,NNP,  브라만교도  ,브라만교도  ,브라만교도  ,브라만교도  ,브라만교도,,브라만교도,NaN
3343,Brahmanistic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3344,Brahmanize,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3345,Brahmany,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3346,Brahmi,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3347,Brahmic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3348,Brahmoism,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3349,Brahmsian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3350,Brahmsite,NNP,  브람스 애호가.  ,브람스 애호가.  ,브람스 애호가.  ,브람스 애호가.  ,브람스 애호가.,,브람스 애호가.,NaN
3351,Brahui,NNP,"  브라후이 어(語)((파키스탄과 이란 및 아프가니스탄 동부에서 쓰이는 드라비다(Dravida) 제어(諸語)의 하나)) ; (pl. ~, ~s) 브라후이 어를 말하는 종족의 사람.  ",Longer,Longer,Longer,Longer,,Longer,NaN
3352,Braidism,NNP,  최면술(hypnotism).  ,최면술(hypnotism).  ,최면술(hypnotism).  ,최면술(hypnotism).  ,최면술.,,최면술.,NaN
3353,Braidist,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3354,Braille,NNP,  점자  ,점자  ,점자  ,점자  ,점자,,점자,NaN
3355,Bram,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3356,Bramantesque,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3357,Bramantip,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3358,Bramia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3359,Branchellion,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3360,Branchiata,NNP,[생명과학]  유새류(有類)  ,  유새류(有類)  ,  유새류(有類)  ,  유새류(有類)  ,유새류,,유새류,NaN
3361,Branchiobdella,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3362,Branchiopoda,NNP,[농생물학]  새각목(?脚目)  ,  새각목(?脚目)  ,  새각목(?脚目)  ,  새각목(?脚目)  ,새각목,,새각목,NaN
3363,Branchiopulmonata,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3364,Branchiosauria,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3365,Branchiosaurus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3366,Branchiostegidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3367,Branchiostoma,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3368,Branchiostomidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3369,Branchipodidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3370,Branchipus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3371,Branchiura,NNP,[해양과학]  새미류 (?尾類)  ,  새미류 (?尾類)  ,  새미류 (?尾類)  ,  새미류 (?尾類)  ,새미류 ,,새미류 ,NaN
3372,Brandenburger,NNP,  브란덴부르크 사람.  ,브란덴부르크 사람.  ,브란덴부르크 사람.  ,브란덴부르크 사람.  ,브란덴부르크 사람.,,브란덴부르크 사람.,NaN
3373,Brandi,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3374,Brandon,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3375,Brandy,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,cognac
3376,Branta,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3377,Brasenia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3378,Brassavola,NNP,[원예학]  브랏사볼라  ,  브랏사볼라  ,  브랏사볼라  ,  브랏사볼라  ,브랏사볼라,,브랏사볼라,NaN
3379,Brassia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3380,Brassica,NNP,  배추속 식물(양배추·유채·겨자 등)  ,배추속 식물(양배추·유채·겨자 등)  ,배추속 식물(양배추·유채·겨자 등)  ,배추속 식물(양배추·유채·겨자 등)  ,배추속 식물,,배추속 식물,NaN
3381,Brassicaceae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3382,Brauneberger,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3383,Brauneria,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3384,Brauronia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3385,Brauronian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3386,Brava,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3387,Brazilian,NNP,  브라질 사람  ,브라질 사람  ,브라질 사람  ,브라질 사람  ,브라질 사람,,브라질 사람,NaN
